"Item","Value","Status","Details","Timestamp"
"Project Key","POP1","CREATED","Target project key","2025-10-16 06:37:03"
"Project Name","Platform Monitoring & Production Operations Sandbox","CREATED","Target project name","2025-10-16 06:37:03"
"Project ID","10840","CREATED","Target project ID","2025-10-16 06:37:03"
"Configuration Template","STANDARD","APPLIED","Configuration template used","2025-10-16 06:37:03"
"Config Source Project","STANDARD","LINKED","Source project for shared configuration (ID: 10033)","2025-10-16 06:37:03"
"Issue Type","Task","CONFIGURED","Issue type ID: 10035","2025-10-16 06:37:03"
"Issue Type","Sub-task","CONFIGURED","Issue type ID: 10036","2025-10-16 06:37:03"
"Issue Type","Story","CONFIGURED","Issue type ID: 10034","2025-10-16 06:37:03"
"Issue Type","Bug","CONFIGURED","Issue type ID: 10037","2025-10-16 06:37:03"
"Issue Type","Epic","CONFIGURED","Issue type ID: 10000","2025-10-16 06:37:03"
"Issue Type","Theme","CONFIGURED","Issue type ID: 10043","2025-10-16 06:37:03"
"Issue Type","Spike","CONFIGURED","Issue type ID: 10042","2025-10-16 06:37:03"
"Issue Type","Key Result","CONFIGURED","Issue type ID: 10039","2025-10-16 06:37:03"
"Issue Type","Objective","CONFIGURED","Issue type ID: 10041","2025-10-16 06:37:03"
"Issue Type","Initiative","CONFIGURED","Issue type ID: 10038","2025-10-16 06:37:03"
